ticker,fiscal_year,fiscal_period,revenue,cost_of_sales,operating_profit,net_profit,total_assets,total_liabilities,current_assets,current_liabilities,cash_and_equivalents,fx_translation_loss,gross_margin_%,operating_margin_%,current_ratio,debt_to_equity_ratio,fx_sensitivity_%
PZN,2021,FY,82577540000.0,,,1559857000.0,87344871000.0,55575890000.0,60614048000.0,49411669000.0,,,,,1.2267152522210898,1.7493759085316587,
PZN,2022,FY,99503320000.0,,,6699325000.0,109472684000.0,71732853000.0,89793126000.0,66078522000.0,,,,,1.3588852063004677,1.9007200376705449,
PZN,2023,FY,113964309000.0,,,14348345000.0,166365886000.0,118005828000.0,148090455000.0,94682883000.0,,,,,1.5640678685290983,2.4401506714487398,
PZN,2024,FY,152249309000.0,98120852000.0,-124498677000.0,-90317282000.0,157059695000.0,184566530000.0,107445387000.0,183660553000.0,28869338000.0,157918245000.0,35.552514067567955,-81.77290118275677,0.5850215805459325,-6.709842480968821,103.72345597969183
PZN,2025,FY,212634336000.0,154926172000.0,18922533000.0,10066719000.0,168902351000.0,186243508000.0,118404447000.0,185363641000.0,40659864000.0,7784240000.0,27.13962621728224,8.89909567568617,0.6387684572941681,-10.73997011848748,3.6608574825845626
