ticker,fiscal_year,fiscal_period,revenue,cost_of_sales,operating_profit,net_profit,total_assets,total_liabilities,current_assets,current_liabilities,cash_and_equivalents,fx_translation_loss
PZN,2025,FY,212634336000.0,154926172000.0,18922533000.0,10066719000.0,168902351000.0,186243508000.0,118404447000.0,185363641000.0,40659864000.0,7784240000.0
PZN,2024,FY,152249309000.0,98120852000.0,-124498677000.0,-90317282000.0,157059695000.0,184566530000.0,107445387000.0,183660553000.0,28869338000.0,157918245000.0
PZN,2023,FY,113964309000.0,,,14348345000.0,166365886000.0,118005828000.0,148090455000.0,94682883000.0,,
PZN,2022,FY,99503320000.0,,,6699325000.0,109472684000.0,71732853000.0,89793126000.0,66078522000.0,,
PZN,2021,FY,82577540000.0,,,1559857000.0,87344871000.0,55575890000.0,60614048000.0,49411669000.0,,
