date,usd_to_ngn_rate,ngn_to_usd_rate
2014-11-07,165.75,0.006033182503770739
2014-11-10,168.3,0.0059417706476530005
2014-11-11,168.5,0.005934718100890208
2014-11-12,169.55,0.005897965202005308
2014-11-13,172.3,0.005803830528148578
2014-11-14,171.05,0.005846243788365974
2014-11-17,172.95,0.005782017924255566
2014-11-18,173.14999,0.0057753396347294044
2014-11-19,173.85001,0.005752084799995122
2014-11-20,176.10001,0.005678591386792085
2014-11-21,177.2,0.0056433408577878106
2014-11-24,173.60001,0.005760368331776018
2014-11-25,177.25,0.005641748942172073
2014-11-26,176.7,0.005659309564233164
2014-11-27,176.7,0.005659309564233164
2014-11-28,178.5,0.0056022408963585435
2014-12-01,183.95,0.005436259853220984
2014-12-02,179.5,0.005571030640668524
2014-12-03,178.89999,0.0055897152369879955
2014-12-04,178.89999,0.0055897152369879955
2014-12-05,179.2,0.005580357142857143
2014-12-08,179.85001,0.005560188737270573
2014-12-09,184.0,0.005434782608695652
2014-12-10,179.89999,0.005558643999924625
2014-12-11,180.7,0.005534034311012729
2014-12-12,179.71001,0.005564520306910004
2014-12-15,178.60001,0.005599103829837412
2014-12-16,180.55,0.005538631957906397
2014-12-17,186.8,0.0053533190578158455
2014-12-18,184.5,0.005420054200542005
2014-12-19,184.5,0.005420054200542005
2014-12-22,184.5,0.005420054200542005
2014-12-23,182.2,0.005488474204171241
2014-12-24,182.75,0.005471956224350205
2014-12-25,182.75,0.005471956224350205
2014-12-26,182.75,0.005471956224350205
2014-12-30,183.45,0.005451076587626056
2014-12-31,183.45,0.005451076587626056
2015-01-01,183.45,0.005451076587626056
2015-01-02,183.39999,0.005452563001775518
2015-01-05,183.5,0.005449591280653951
2015-01-06,183.5,0.005449591280653951
2015-01-07,183.0,0.00546448087431694
2015-01-08,179.95,0.005557099194220617
2015-01-09,181.25,0.005517241379310344
2015-01-12,180.0,0.005555555555555556
2015-01-13,183.5,0.005449591280653951
2015-01-14,183.45,0.005451076587626056
2015-01-15,185.60001,0.005387930744184766
2015-01-16,185.5,0.005390835579514825
2015-01-19,187.5,0.005333333333333333
2015-01-20,189.2,0.005285412262156448
2015-01-21,185.0,0.005405405405405406
2015-01-22,188.0,0.005319148936170213
2015-01-23,191.25,0.00522875816993464
2015-01-26,191.2,0.005230125523012553
2015-01-27,191.95,0.005209690023443605
2015-01-28,189.88,0.005266484095218032
2015-01-29,188.89999,0.005293806526935231
2015-01-30,190.45,0.005250721974271463
2015-02-02,189.0,0.005291005291005291
2015-02-03,189.89999,0.005265929713845693
2015-02-04,192.2,0.005202913631633715
2015-02-05,192.3,0.005200208008320333
2015-02-06,193.8,0.005159958720330237
2015-02-09,196.0,0.00510204081632653
2015-02-10,199.89999,0.005002501500875512
2015-02-11,203.89999,0.004904365125275386
2015-02-12,204.8,0.0048828125
2015-02-13,204.5,0.004889975550122249
2015-02-16,199.39999,0.005015045386913009
2015-02-17,199.95,0.005001250312578144
2015-02-18,197.89999,0.005053057354879098
2015-02-19,198.89999,0.005027652339248484
2015-02-20,199.89999,0.005002501500875512
2015-02-23,200.5,0.004987531172069825
2015-02-24,201.0,0.004975124378109453
2015-02-25,201.45,0.004964010920824026
2015-02-26,201.95,0.0049517207229512255
2015-02-27,202.45,0.004939491232403063
2015-03-02,201.0,0.004975124378109453
2015-03-03,200.5,0.004987531172069825
2015-03-04,199.7,0.005007511266900351
2015-03-05,199.89999,0.005002501500875512
2015-03-06,199.45,0.005013787916771121
2015-03-09,199.45,0.005013787916771121
2015-03-10,199.45,0.005013787916771121
2015-03-11,199.45,0.005013787916771121
